scenario_id,category,start_x,start_y,goal_x,goal_y,straight_line_distance,direct_path_blocked,number_of_blocking_obstacles,first_obstacle_distance,shortest_collision_free_path,detour_ratio,same_room,start_room,goal_room,difficulty,success,collision,timeout
EASY / OPEN_1,EASY / OPEN,0.0,0.0,-1.6333567409713652,-2.507791082004232,2.9928030931313465,False,0,-1,3.3037999999999994,1.1039149243003685,True,LivingRoom,LivingRoom,UNKNOWN,True,False,False
EASY / OPEN_2,EASY / OPEN,0.0,0.0,-6.061530966088319,-0.8724050074828082,6.123989561546351,False,0,-1,6.472599999999997,1.0569253809057146,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_3,EASY / OPEN,0.0,0.0,-5.101565983874287,-2.398497225679421,5.637265687318196,False,0,-1,6.193600000000001,1.0986886805660685,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_4,EASY / OPEN,0.0,0.0,-6.1250287268259616,1.4785202049736978,6.300952221764479,False,0,-1,6.7795999999999985,1.07596435608291,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_5,EASY / OPEN,0.0,0.0,5.32112856561002,1.5243186254056966,5.535156410031216,False,0,-1,6.003799999999997,1.084666729402528,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_6,EASY / OPEN,0.0,0.0,6.440067023629744,0.6927901362352956,6.477223281754937,False,0,-1,6.648399999999995,1.0264274845561105,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_7,EASY / OPEN,0.0,0.0,6.565094381516354,-0.07518089881763557,6.565524838561242,False,0,-1,6.541399999999993,0.9963255277903214,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_8,EASY / OPEN,0.0,0.0,-3.6438873708519854,-2.4025749358452027,4.364662815591392,False,0,-1,4.734999999999999,1.0848489791893416,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_9,EASY / OPEN,0.0,0.0,-3.61719902035609,-2.1683028008357095,4.217305512881067,False,0,-1,4.6108,1.0933047145664616,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_10,EASY / OPEN,0.0,0.0,-6.478684657680814,1.7524346588457078,6.711511165690812,False,0,-1,7.203799999999998,1.0733499240567106,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_11,EASY / OPEN,0.0,0.0,-0.8866978368582296,-5.246964884059488,5.32136012204046,False,0,-1,5.6726,1.0660056583099395,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_12,EASY / OPEN,0.0,0.0,-3.3139932027935,-3.5913118126305363,4.886724003225591,False,0,-1,5.124799999999999,1.048718936575354,False,LivingRoom,BR3,EASY,False,True,False
EASY / OPEN_13,EASY / OPEN,0.0,0.0,-0.25857610801026387,-4.320314454727341,4.328045585637903,False,0,-1,4.524200000000001,1.04532170710332,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_14,EASY / OPEN,0.0,0.0,1.6668060574584782,-4.36267447607089,4.670243143278591,False,0,-1,5.062400000000001,1.0839692591349985,False,LivingRoom,Corridor,EASY,False,True,False
EASY / OPEN_15,EASY / OPEN,0.0,0.0,3.8980863168599282,-3.7610914569763128,5.4167227990207145,False,0,-1,5.7247999999999974,1.0568752015582152,False,LivingRoom,Kitchen,EASY,True,False,False
EASY / OPEN_16,EASY / OPEN,0.0,0.0,2.0179006682291356,-4.8843883696291766,5.28480584810912,False,0,-1,5.728000000000001,1.0838619553165711,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_17,EASY / OPEN,0.0,0.0,-0.8731148521334642,-1.8187575778611997,2.0174758169662352,False,0,-1,2.2725999999999997,1.1264571207685679,True,LivingRoom,LivingRoom,UNKNOWN,True,False,False
EASY / OPEN_18,EASY / OPEN,0.0,0.0,-1.3689915170721774,-4.97056733207271,5.155645194976473,False,0,-1,5.579600000000002,1.0822311832933382,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_19,EASY / OPEN,0.0,0.0,-4.443486057665814,0.7807643214243254,4.5115586298173795,False,0,-1,4.789800000000002,1.0616730032817694,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_20,EASY / OPEN,0.0,0.0,0.10922582088535249,-2.4984330495557128,2.5008194623083724,False,0,-1,2.5414000000000008,1.0162268961447423,True,LivingRoom,LivingRoom,EASY,True,False,False
EASY / OPEN_21,EASY / OPEN,0.0,0.0,5.947811130745423,-4.981053000942656,7.758050415227977,False,0,-1,7.969999999999998,1.0273199545540452,False,LivingRoom,Kitchen,EASY,False,True,False
EASY / OPEN_22,EASY / OPEN,0.0,0.0,-1.8276506157629617,-2.297265634887135,2.9355980941764024,False,0,-1,3.0866,1.0514382081536138,True,LivingRoom,LivingRoom,EASY,True,False,False
EASY / OPEN_23,EASY / OPEN,0.0,0.0,0.24383551673044013,-7.3650895894300445,7.3691248068919295,False,0,-1,7.48279999999999,1.0154258743184466,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_24,EASY / OPEN,0.0,0.0,2.5516995070478727,-2.2869779587764234,3.426578257999886,False,0,-1,3.5693999999999995,1.0416805720595097,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_25,EASY / OPEN,0.0,0.0,-0.34262622619907535,-4.9672703936651255,4.9790729955144775,False,0,-1,5.1655999999999995,1.0374621952025125,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_26,EASY / OPEN,0.0,0.0,-1.1125218476017118,-5.054556050922266,5.175542651095247,False,0,-1,5.596800000000002,1.0813938512931796,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_27,EASY / OPEN,0.0,0.0,3.4874671086325195,0.26093277771832846,3.497214998864306,False,0,-1,3.4828000000000015,0.995878149078914,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_28,EASY / OPEN,0.0,0.0,7.199972405991355,0.05213673198170454,7.200161170825183,False,0,-1,7.099999999999991,0.9860890376689008,False,LivingRoom,Corridor,EASY,True,False,False
EASY / OPEN_29,EASY / OPEN,0.0,0.0,3.863542604377415,1.7492778515857648,4.241100618694153,False,0,-1,4.5038,1.0619413225302663,False,LivingRoom,Corridor,EASY,False,True,False
EASY / OPEN_30,EASY / OPEN,0.0,0.0,0.5593005510660798,-4.835818402639044,4.868054717207404,False,0,-1,5.107,1.0490843461450798,False,LivingRoom,Corridor,EASY,True,False,False
WALL-BLOCKED_1,WALL-BLOCKED,0.0,0.0,-6.843307781968206,-4.2041193936431025,8.03153044411541,True,1,5.540146724460972,8.914599999999995,1.1099503465782912,False,LivingRoom,BR3,MODERATE,False,True,False
WALL-BLOCKED_2,WALL-BLOCKED,0.0,0.0,-4.183704952909286,5.124614174828855,6.615516425333287,True,1,1.4200226240660638,7.8349999999999955,1.18433686748881,False,LivingRoom,BR1,MODERATE,False,True,False
WALL-BLOCKED_3,WALL-BLOCKED,0.0,0.0,4.765451917612295,-5.234904581123911,7.0791071437397255,True,2,1.7579765102205231,7.597399999999995,1.073214438733084,False,LivingRoom,Kitchen,HARD,False,True,False
