scenario_id,category,model,success,collision,timeout,initial_distance_to_goal,final_distance_to_goal,episode_steps,episode_time,path_length,minimum_clearance,mean_linear_velocity,mean_angular_velocity,mean_absolute_angular_velocity,forward_percentage,reverse_percentage,stationary_percentage,oscillation_events,oscillation_rate,no_turn_event,front_collision,successful_obstacle_avoidance,critical_recovery,angular_velocity_when_clearance_below_0.45m,direct_goal_path_blocked,first_obstacle_detected_step,first_turn_step,clearance_at_first_turn,did_robot_turn_away_from_blocking_wall,did_robot_get_around_wall,final_result
EASY / OPEN_18,EASY / OPEN,Champion,True,False,False,5.155645087027826,1.1920325,261,26.1,4.4816856,0.7636963129043579,0.17109409,-0.15381649,0.23091593,0.9118773946360154,0.0,0.08812260536398467,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_19,EASY / OPEN,Champion,True,False,False,4.511558786930635,1.1982673,214,21.400000000000002,4.8454027,0.5928431153297424,0.21548286,-0.14922972,0.26582778,0.9018691588785047,0.04672897196261682,0.0514018691588785,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_20,EASY / OPEN,Champion,True,False,False,2.5008195259469628,1.1932077,124,12.4,2.230163,0.7603133916854858,0.17866103,-0.19868729,0.27439418,0.9032258064516129,0.0,0.0967741935483871,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_21,EASY / OPEN,Champion,False,True,False,7.758050331605054,9.435875,451,45.1,7.215473,0.41023361682891846,0.016852695,-0.081251666,0.10227715,0.3458980044345898,0.6319290465631929,0.022172949002217297,0,0.0,True,False,False,False,0.20685661,False,52,62,0.4406552314758301,True,False,Collision
EASY / OPEN_22,EASY / OPEN,Champion,True,False,False,2.9355980432331172,1.181598,171,17.1,2.8282812,0.8253113031387329,0.15078504,-0.24407731,0.28781202,0.8362573099415205,0.06432748538011696,0.09941520467836257,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_23,EASY / OPEN,Champion,True,False,False,7.36912463429191,1.1723893,314,31.400000000000002,7.1670446,0.509019672870636,0.22763778,-0.056721743,0.17626877,0.9777070063694268,0.0031847133757961785,0.01910828025477707,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_24,EASY / OPEN,Champion,True,False,False,3.426578210005324,1.1723939,160,16.0,2.5239613,0.4665871858596802,0.15299778,-0.138864,0.23358789,0.9,0.025,0.075,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_25,EASY / OPEN,Champion,True,False,False,4.979072975355784,1.1724396,221,22.1,4.9809093,0.6719673871994019,0.22518077,-0.07015159,0.2118189,0.9683257918552036,0.0,0.03167420814479638,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_26,EASY / OPEN,Champion,True,False,False,5.175542505241767,1.1848664,260,26.0,4.344449,0.8053090572357178,0.16583802,-0.13048813,0.20543721,0.8846153846153846,0.0038461538461538464,0.11153846153846154,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_27,EASY / OPEN,Champion,True,False,False,3.4972149406202395,1.1844207,215,21.5,5.4302015,0.3821816146373749,0.25256738,0.13969293,0.24664307,1.0,0.0,0.0,0,0.0,False,False,True,False,0.45649338,False,179,179,0.4429545998573303,True,True,Success
EASY / OPEN_28,EASY / OPEN,Champion,True,False,False,7.200161394363652,1.19425,331,33.1,6.175789,0.8326919674873352,0.18427205,-0.039691217,0.14993513,0.9274924471299094,0.0030211480362537764,0.06948640483383686,0,0.0,False,False,False,False,0.0,False,-1,-1,-1.0,False,True,Success
EASY / OPEN_29,EASY / OPEN,Champion,False,True,False,4.241100566466139,3.765868,196,19.6,4.5206766,0.3060660660266876,0.23049831,0.06824943,0.14391147,0.9183673469387755,0.0,0.08163265306122448,0,0.0,True,False,False,False,0.13163987,False,144,182,0.4236546456813812,True,False,Collision
EASY / OPEN_30,EASY / OPEN,Champion,True,False,False,4.868054604964335,1.1519668,283,28.3,6.4407907,0.30427443981170654,0.2269812,-0.13374369,0.23789135,0.9752650176678446,0.0035335689045936395,0.02120141342756184,0,0.0,False,False,True,True,0.23901908,False,131,132,0.424851655960083,True,True,Success
WALL-BLOCKED_1,WALL-BLOCKED,Champion,False,True,False,8.031530507497086,4.419254,340,34.0,8.2229595,0.3018016815185547,0.24119648,-0.05815059,0.1935875,0.9117647058823529,0.0029411764705882353,0.08529411764705883,0,0.0,True,False,False,False,0.08817569,True,292,-1,-1.0,False,False,Collision
WALL-BLOCKED_2,WALL-BLOCKED,Champion,False,True,False,6.615516411693537,1.2300978,360,36.0,6.2465706,0.30055516958236694,0.17333448,-0.22317863,0.28252614,0.9666666666666667,0.0,0.03333333333333333,0,0.0,False,False,False,False,0.39674157,True,275,282,0.3039271831512451,True,False,Collision
WALL-BLOCKED_3,WALL-BLOCKED,Champion,False,True,False,7.079107274118698,6.0481596,343,34.300000000000004,6.874305,0.3003358542919159,0.19518256,0.00927913,0.15981407,0.7055393586005831,0.0,0.2944606413994169,0,0.0,True,False,False,False,0.13733095,True,45,45,0.43262290954589844,True,False,Collision
WALL-BLOCKED_4,WALL-BLOCKED,Champion,True,False,False,6.039485459503695,1.1737522,423,42.300000000000004,7.133056,0.36216798424720764,0.16850358,-0.12424529,0.20807005,0.966903073286052,0.0,0.03309692671394799,0,0.0,False,False,True,False,0.13673061,True,283,285,0.41995787620544434,True,True,Success
WALL-BLOCKED_5,WALL-BLOCKED,Champion,False,True,False,6.33154302960143,5.2094955,298,29.8,7.022989,0.3001808822154999,0.23510955,-0.048970226,0.22663096,0.8691275167785235,0.0,0.13087248322147652,0,0.0,False,False,False,False,0.17882785,True,243,244,0.4048502445220947,True,False,Collision
WALL-BLOCKED_6,WALL-BLOCKED,Champion,True,False,False,4.095278463228152,1.1797084,363,36.300000000000004,7.854467,0.300287127494812,0.2161117,0.010708258,0.22333312,0.977961432506887,0.0,0.02203856749311295,0,0.0,False,False,True,True,0.24575512,True,186,195,0.3115959167480469,True,True,Success
WALL-BLOCKED_7,WALL-BLOCKED,Champion,False,True,False,3.8491031903995876,7.1231947,334,33.4,3.4608839,0.39807844161987305,-0.10361929,-0.04298611,0.08845349,0.0,1.0,0.0,0,0.0,True,False,False,False,0.05522082,True,333,-1,-1.0,False,False,Collision
WALL-BLOCKED_8,WALL-BLOCKED,Champion,True,False,False,6.979211350179971,1.1990235,325,32.5,5.783827,0.300551176071167,0.17747559,-0.13043368,0.2044144,0.9476923076923077,0.003076923076923077,0.04923076923076923,0,0.0,False,False,True,True,0.11283558,True,177,184,0.30529701709747314,True,True,Success
WALL-BLOCKED_9,WALL-BLOCKED,Champion,False,True,False,6.83274119403462,1.215092,318,31.8,4.049896,0.3009773790836334,0.11930446,-0.097148895,0.26492092,0.6226415094339622,0.031446540880503145,0.34591194968553457,0,0.0,True,False,False,False,0.18565945,True,202,261,0.30359452962875366,True,False,Collision
WALL-BLOCKED_10,WALL-BLOCKED,Champion,True,False,False,3.188467156911748,1.1990665,442,44.2,8.4619665,0.3007962107658386,0.19004713,-0.17751564,0.3220539,0.9027149321266968,0.004524886877828055,0.09276018099547512,0,0.0,False,False,True,True,0.17580794,True,340,347,0.35230347514152527,True,True,Success
WALL-BLOCKED_11,WALL-BLOCKED,Champion,True,False,False,6.50314896268997,1.189212,289,28.900000000000002,7.078019,0.7102674841880798,0.23635197,-0.08798012,0.23687012,0.9273356401384083,0.031141868512110725,0.04152249134948097,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,True,Success
WALL-BLOCKED_12,WALL-BLOCKED,Champion,False,False,True,6.669950496595618,1.2071953,800,80.0,5.934604,0.3002127707004547,0.021709891,0.019013472,0.112177156,0.28125,0.07625,0.6425,0,0.0,False,False,False,False,0.08375683,True,172,179,0.30742788314819336,True,False,Timeout
WALL-BLOCKED_13,WALL-BLOCKED,Champion,True,False,False,6.7838269911256805,1.1854832,302,30.200000000000003,7.029421,0.6049715280532837,0.23158112,-0.08444729,0.23943324,0.9370860927152318,0.0033112582781456954,0.059602649006622516,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,True,Success
WALL-BLOCKED_14,WALL-BLOCKED,Champion,True,False,False,7.059453387241026,1.1862915,387,38.7,7.5304875,0.3170934021472931,0.19453603,-0.07462353,0.19826782,0.9483204134366925,0.0,0.05167958656330749,0,0.0,False,False,True,True,0.25779888,True,215,234,0.3753466010093689,True,True,Success
WALL-BLOCKED_15,WALL-BLOCKED,Champion,False,True,False,7.161988319084942,9.94048,432,43.2,5.8490925,0.30097803473472595,0.08572103,-0.052401066,0.14237835,0.4351851851851852,0.26851851851851855,0.2962962962962963,0,0.0,True,False,False,False,0.043632563,True,180,-1,-1.0,False,False,Collision
WALL-BLOCKED_16,WALL-BLOCKED,Champion,True,False,False,2.934122900182789,1.1641685,287,28.700000000000003,5.9569426,0.31250303983688354,0.20509313,-0.081331566,0.25484183,0.926829268292683,0.006968641114982578,0.06620209059233449,0,0.0,False,False,True,True,0.41278183,True,18,18,0.4334622025489807,True,True,Success
WALL-BLOCKED_17,WALL-BLOCKED,Champion,False,True,False,5.862310116315263,6.966586,283,28.3,5.2717385,0.3000752925872803,0.16822802,-0.079338335,0.18731329,0.6855123674911661,0.10247349823321555,0.21201413427561838,0,0.0,False,False,False,False,0.04263707,True,194,194,0.4365268349647522,True,False,Collision
WALL-BLOCKED_18,WALL-BLOCKED,Champion,False,True,False,7.514260529966882,1.2183936,744,74.4,7.2918077,0.3004893958568573,0.023804536,-0.09413991,0.18745962,0.30913978494623656,0.28897849462365593,0.4018817204301075,0,0.0,False,False,False,False,0.13314553,True,56,56,0.44884663820266724,True,False,Collision
WALL-BLOCKED_19,WALL-BLOCKED,Champion,True,False,False,2.9237472983097392,1.179243,154,15.4,2.918376,0.30080553889274597,0.18899518,-0.14234346,0.25092185,0.8766233766233766,0.0,0.12337662337662338,0,0.0,False,False,True,True,0.20750928,True,64,64,0.44759976863861084,True,True,Success
WALL-BLOCKED_20,WALL-BLOCKED,Champion,False,False,True,6.314218082365858,1.2520605,800,80.0,6.686944,0.9430677890777588,-0.04472143,-0.009011468,0.039938003,0.0725,0.92625,0.00125,0,0.0,False,False,False,False,0.0,True,-1,-1,-1.0,False,False,Timeout
WALL-BLOCKED_21,WALL-BLOCKED,Champion,False,True,False,6.956311720920505,12.0,233,23.3,3.212005,0.3013344407081604,0.036701508,-0.12525828,0.25179058,0.5450643776824035,0.38626609442060084,0.06866952789699571,0,0.0,True,False,False,False,0.18138637,True,155,176,0.37036922574043274,True,False,Collision
WALL-BLOCKED_22,WALL-BLOCKED,Champion,False,True,False,5.645981228988503,1.2570026,351,35.1,5.920148,0.3000057637691498,0.16604902,0.06989026,0.24694508,0.7891737891737892,0.0,0.21082621082621084,0,0.0,True,False,False,False,0.25349605,True,215,223,0.3387018144130707,True,False,Collision
WALL-BLOCKED_23,WALL-BLOCKED,Champion,True,False,False,3.360907938130567,1.1841483,400,40.0,6.079553,0.3614632189273834,0.04372135,-0.17506762,0.19450176,0.5775,0.4,0.0225,0,0.0,False,False,True,False,0.057501297,True,241,-1,-1.0,False,True,Success
WALL-BLOCKED_24,WALL-BLOCKED,Champion,False,True,False,5.683294785329879,1.2413223,335,33.5,5.9004903,0.3006264567375183,0.12135181,-0.045037698,0.16255173,0.7104477611940299,0.23582089552238805,0.05373134328358209,0,0.0,False,False,False,False,0.19053102,True,285,289,0.38095012307167053,True,False,Collision
WALL-BLOCKED_25,WALL-BLOCKED,Champion,True,False,False,3.8925426289368716,1.1894763,763,76.3,10.620218,0.300799161195755,-0.009277791,-0.07572502,0.13769549,0.35255570117955437,0.6461336828309305,0.001310615989515072,0,0.0,False,False,True,True,0.14462243,True,579,581,0.4223039746284485,True,True,Success
