episode_id,category,outcome,initial_goal_distance,final_goal_distance,total_distance_reduction,angular_reversals,linear_reversals,cumulative_angular_rotation,percent_turning,avg_lin_last10,avg_ang_last10
WALL-BLOCKED_11,WALL-BLOCKED,SUCCESS,6.5281319238799425,0.49008109724877147,6.038050826631171,33,3,6.979226,0.34265734265734266,0.20983978,0.13242872
WALL-BLOCKED_12,WALL-BLOCKED,SUCCESS,6.651609770159755,0.49484285052822,6.1567669196315356,34,2,5.2343698,0.3269230769230769,0.17652817,-0.11791361
WALL-BLOCKED_13,WALL-BLOCKED,SUCCESS,6.820054517199113,0.48188588378464836,6.3381686334144645,29,1,6.9683747,0.30491803278688523,0.18351507,0.123946525
WALL-BLOCKED_14,WALL-BLOCKED,SUCCESS,7.051377963307978,0.4948102848419561,6.556567678466021,31,2,6.5047555,0.3611111111111111,0.1749594,-0.016544906
WALL-BLOCKED_15,WALL-BLOCKED,COLLISION,7.189551675633857,4.148188261668486,3.041363413965371,33,4,5.716903,0.17794486215538846,-0.02002768,0.00021212264
WALL-BLOCKED_16,WALL-BLOCKED,SUCCESS,2.9637114205835853,0.4865935122174824,2.477117908366103,44,1,6.065103,0.3974358974358974,0.21134207,-0.032628123
WALL-BLOCKED_17,WALL-BLOCKED,COLLISION,5.891512826531122,2.919581867583385,2.971930958947737,27,2,5.5869136,0.2268370607028754,0.010940806,0.029458513
WALL-BLOCKED_18,WALL-BLOCKED,SUCCESS,7.509306590194519,0.4933347584881639,7.015971831706355,25,2,7.5374246,0.36082474226804123,0.197374,0.09831955
WALL-BLOCKED_19,WALL-BLOCKED,COLLISION,2.839678091025188,0.7305509338460893,2.1091271571790986,33,1,4.3895946,0.4603174603174603,0.056878753,0.011603057
WALL-BLOCKED_20,WALL-BLOCKED,COLLISION,6.314812034136066,4.293092135264865,2.0217198988712015,33,0,9.406955,0.5882352941176471,0.06570177,0.27114904
WALL-BLOCKED_21,WALL-BLOCKED,SUCCESS,7.00501737208461,0.48347615209958167,6.5215412199850284,25,0,9.543518,0.3171247357293869,0.14980397,-0.047898177
WALL-BLOCKED_22,WALL-BLOCKED,TIMEOUT,5.64415911279359,5.448229679019845,0.1959294337737445,134,0,9.400969,0.05125,-0.06870175,-0.008098755
WALL-BLOCKED_23,WALL-BLOCKED,SUCCESS,3.35820849545322,0.49851362581558095,2.859694869637639,8,1,7.798023,0.36140350877192984,0.13715838,-0.17655325
WALL-BLOCKED_24,WALL-BLOCKED,COLLISION,5.646554865243481,2.244898409724138,3.4016564555193436,31,11,8.708275,0.2332155477031802,0.19628513,0.0608371
WALL-BLOCKED_25,WALL-BLOCKED,TIMEOUT,3.895706698116014,4.121222212202821,-0.22551551408680703,7,0,6.526503,0.09375,-0.057753302,-0.07832814
WALL-BLOCKED_26,WALL-BLOCKED,SUCCESS,6.5314509435405625,0.4937167957616939,6.037734147778869,26,4,6.532291,0.4094955489614243,0.15561171,-0.14786868
WALL-BLOCKED_27,WALL-BLOCKED,SUCCESS,6.800712932801956,0.47916634406130215,6.321546588740654,27,0,3.7078705,0.1956521739130435,0.22102888,0.09491604
WALL-BLOCKED_28,WALL-BLOCKED,COLLISION,3.94402540264563,1.7511040190264422,2.192921383619188,45,3,6.8303237,0.4492753623188406,0.06348257,0.21667686
WALL-BLOCKED_29,WALL-BLOCKED,TIMEOUT,6.614803259173088,4.970258122426755,1.6445451367463324,14,1,1.6757692,0.03625,-0.06603783,1.2039833e-06
WALL-BLOCKED_30,WALL-BLOCKED,TIMEOUT,3.9683310935514493,3.2082749626605684,0.7600561308908809,1,1,9.683069,0.14875,-0.08993309,-0.28256714
COMPLEX OBSTACLE_1,COMPLEX OBSTACLE,COLLISION,7.3949901551711035,5.654349929444138,1.740640225726965,55,3,12.0212555,0.45930232558139533,0.05422781,0.24878412
COMPLEX OBSTACLE_2,COMPLEX OBSTACLE,COLLISION,7.285931558796591,1.2008058905311203,6.085125668265471,41,2,7.626068,0.407514450867052,0.11451681,0.16422953
COMPLEX OBSTACLE_3,COMPLEX OBSTACLE,COLLISION,5.139507888110631,1.4287282846521834,3.710779603458448,17,2,4.0520115,0.3925233644859813,0.16872156,-0.11823718
COMPLEX OBSTACLE_4,COMPLEX OBSTACLE,COLLISION,7.192051686198184,1.2436850853460406,5.948366600852143,23,2,7.2220078,0.26944444444444443,0.069090486,0.105260365
COMPLEX OBSTACLE_5,COMPLEX OBSTACLE,COLLISION,6.8057571035465285,2.836136311739211,3.9696207918073174,29,1,7.463173,0.4716981132075472,0.04332583,0.22415155
COMPLEX OBSTACLE_6,COMPLEX OBSTACLE,SUCCESS,6.350312954430648,0.48740033894802376,5.8629126154826245,44,9,11.613423,0.46336206896551724,0.14315176,-0.022189649
COMPLEX OBSTACLE_7,COMPLEX OBSTACLE,SUCCESS,3.9194053122375587,0.4932323048851848,3.4261730073523737,27,0,4.527022,0.3832599118942731,0.19568925,0.12512818
COMPLEX OBSTACLE_8,COMPLEX OBSTACLE,SUCCESS,3.845373852357882,0.4998239901228504,3.3455498622350315,32,0,8.232748,0.5993975903614458,0.094422385,0.06654347
COMPLEX OBSTACLE_9,COMPLEX OBSTACLE,COLLISION,7.534224754961408,4.681744120638677,2.852480634322731,14,3,7.931602,0.4483870967741935,-0.04650825,-0.12638842
COMPLEX OBSTACLE_10,COMPLEX OBSTACLE,SUCCESS,4.2250254809270515,0.49873664020830855,3.726288840718743,29,0,5.0405607,0.4778761061946903,0.16915081,-0.07785526
COMPLEX OBSTACLE_11,COMPLEX OBSTACLE,COLLISION,7.9364599170727255,1.2486374338055275,6.6878224832671975,31,0,4.1161284,0.18694362017804153,0.12165342,0.088344276
COMPLEX OBSTACLE_12,COMPLEX OBSTACLE,SUCCESS,9.004352442202334,0.4909779408002389,8.513374501402096,58,0,7.9053874,0.2860169491525424,0.1559912,0.010218104
