episode_id,scenario_class,strict_success,failure_reason,final_distance,path_length,steps,min_clearance,wall_bypass_attempted
0,wall_blocked,1,NONE,0.24842495340790163,12.848540257209741,480,0.30004844069480896,0
1,wall_blocked,0,LOW_PROGRESS_STRICT,0.39147220703476204,16.125786683710388,600,0.3000032603740692,1
2,wall_blocked,1,NONE,0.23819272630923133,16.008425936799846,522,0.41973158717155457,0
3,wall_blocked,0,WALL_BLOCKED_FAILURE,6.375793960077108,6.360229094349827,600,0.30013298988342285,1
4,wall_blocked,1,NONE,0.24835802969288384,11.819070623346962,422,0.3002367615699768,0
5,wall_blocked,1,NONE,0.2443926364653548,19.939626395011473,441,0.300017386674881,0
6,wall_blocked,1,NONE,0.2450822538051332,18.70277496987765,467,0.3000235855579376,0
7,wall_blocked,1,NONE,0.23280424170292105,14.312740166003856,374,0.30013740062713623,0
8,wall_blocked,0,WALL_BLOCKED_FAILURE,7.106700348109368,18.14642660896817,87,0.3000010550022125,1
9,wall_blocked,1,NONE,0.22881950887286379,12.333656512701761,455,0.3000166118144989,0
10,wall_blocked,1,NONE,0.24964351755514125,14.93910397395418,442,0.30022063851356506,0
11,wall_blocked,0,WALL_BLOCKED_FAILURE,0.5103175375926708,40.17630163876492,600,0.30000001192092896,1
12,wall_blocked,1,NONE,0.23847126672043384,19.63122725403481,361,0.32142093777656555,0
13,wall_blocked,0,WALL_BLOCKED_FAILURE,0.629479724044396,9.890647494204146,600,0.3000011146068573,1
14,wall_blocked,0,WALL_BLOCKED_FAILURE,8.579632850391569,12.372422988168312,174,0.3000016212463379,1
15,wall_blocked,1,NONE,0.23218835455468592,9.888999797066768,350,0.3850845992565155,0
16,wall_blocked,0,WALL_BLOCKED_FAILURE,0.47336288149172007,10.85735524576343,424,0.3000289499759674,1
17,wall_blocked,1,NONE,0.24328765379382167,8.808227000726028,345,0.4073314964771271,0
18,wall_blocked,0,WALL_BLOCKED_FAILURE,5.557010698755903,4.391413279117776,129,0.30009615421295166,1
19,wall_blocked,0,WALL_BLOCKED_FAILURE,0.8039811611615563,11.479221707608243,600,0.3000081479549408,1
20,wall_blocked,0,WALL_BLOCKED_FAILURE,8.434920483013633,4.863541356974458,144,0.30001187324523926,1
21,wall_blocked,0,WALL_BLOCKED_FAILURE,1.2216976465076255,13.338419767195466,516,0.30002546310424805,1
22,wall_blocked,1,NONE,0.2469397389826817,13.866490238079821,448,0.40457987785339355,0
23,wall_blocked,0,WALL_BLOCKED_FAILURE,6.352890440090753,2.7738085360388385,174,0.3001025319099426,1
24,wall_blocked,1,NONE,0.24227109933569094,10.596680440104588,436,0.33816713094711304,0
25,wall_blocked,1,NONE,0.24261465014735178,16.55309586443956,401,0.3133481442928314,0
26,wall_blocked,1,NONE,0.23421518010640546,27.73376276085828,518,0.30006444454193115,0
27,wall_blocked,1,NONE,0.24567838178604443,9.119317379681227,358,0.37032169103622437,0
28,wall_blocked,0,WALL_BLOCKED_FAILURE,5.847097927351442,3.1300206296345396,143,0.300238698720932,1
29,wall_blocked,1,NONE,0.23240535883111943,10.000601504236984,395,0.3000161647796631,0
30,wall_blocked,1,NONE,0.24376859305685578,18.47231974403472,430,0.30012959241867065,0
31,wall_blocked,1,NONE,0.2213621517450103,18.035598855128434,472,0.3000180721282959,0
32,wall_blocked,1,NONE,0.24197249276949107,12.001689417799843,357,0.3382735550403595,0
33,wall_blocked,0,WALL_BLOCKED_FAILURE,0.5605431607450536,9.222000883766315,600,0.300039678812027,1
34,wall_blocked,0,WALL_BLOCKED_FAILURE,8.024839947958009,25.6157439038639,172,0.3000618815422058,1
35,wall_blocked,1,NONE,0.2465007756003848,9.75655010821403,354,0.4307303726673126,0
36,wall_blocked,0,WALL_BLOCKED_FAILURE,0.5156378631459183,9.838550858409542,457,0.3000032305717468,1
37,wall_blocked,1,NONE,0.2462073367188199,11.21446646558566,360,0.3470834791660309,0
38,wall_blocked,1,NONE,0.2395394482001651,17.26862601024383,310,0.4730290174484253,0
39,wall_blocked,0,WALL_BLOCKED_FAILURE,0.7634236338301826,18.253168678705663,600,0.300010085105896,1
40,complex,1,NONE,0.2356698677941987,29.378717267562365,376,0.31359922885894775,0
41,complex,1,NONE,0.24682779562308604,14.872789125123017,243,0.44386643171310425,0
42,complex,0,COLLISION,0.6534200748020305,12.018570362230209,375,0.3000498414039612,0
43,complex,1,NONE,0.24355805333611416,34.13207328413362,397,0.37034910917282104,0
44,complex,1,NONE,0.2450842582835778,7.206655058489039,325,0.36179789900779724,0
45,complex,1,NONE,0.23628859472218944,6.438682096875043,209,0.4632394313812256,0
46,complex,1,NONE,0.23280493142233405,11.629577785344505,414,0.30022406578063965,0
47,complex,1,NONE,0.2479229900637579,4.269031755898633,170,0.30065464973449707,0
48,complex,1,NONE,0.24220935113460842,9.370430715317571,237,0.33614784479141235,0
49,complex,1,NONE,0.23588245182576148,14.825013415170925,206,0.7506782412528992,0
50,complex,0,TIMEOUT,0.9036637197967498,18.11229840458863,600,0.3000427782535553,0
51,complex,1,NONE,0.24672095077428002,14.646027882601306,265,0.44148340821266174,0
52,complex,1,NONE,0.24708683430466657,25.283753024551494,312,0.4382222890853882,0
53,complex,1,NONE,0.2445808792728742,6.991485980293046,241,0.39852774143218994,0
54,complex,0,COLLISION,0.6426696791379262,15.729423527630036,485,0.3000132739543915,0
55,complex,0,COLLISION,2.3725282502518104,1.6297728537543485,92,0.300119012594223,0
56,complex,1,NONE,0.24226437837808104,7.934007135687839,255,0.38844960927963257,0
57,complex,1,NONE,0.22574078352765092,17.188091789062167,227,0.5475723743438721,0
58,complex,0,TIMEOUT,0.83637194644094,14.818038215103002,600,0.3000263571739197,0
59,complex,1,NONE,0.23053380247625813,8.69008136202527,328,0.40217241644859314,0
60,complex,1,NONE,0.24156691521768295,14.907347152751214,250,0.38920843601226807,0
61,complex,1,NONE,0.24699744882591687,7.229057967388657,259,0.4996253550052643,0
62,complex,1,NONE,0.2362561473482789,8.898023009294562,247,0.33611106872558594,0
63,complex,0,COLLISION,2.4122553724958884,2.041099465755748,131,0.30004721879959106,0
64,complex,1,NONE,0.24676491248090532,8.421615152021715,268,0.37319043278694153,0
65,complex,1,NONE,0.22567361329500576,10.09946940101191,214,0.767130970954895,0
66,complex,0,COLLISION,0.805755092369028,8.268122213407956,345,0.3000888526439667,0
67,random,1,NONE,0.23212579159347757,21.57500813356829,231,0.6581249833106995,0
68,random,0,COLLISION,0.6127907071487523,7.972841909179839,298,0.30009615421295166,0
69,random,0,TIMEOUT,0.5161216380179977,25.083317321355768,600,0.30003684759140015,0
70,random,1,NONE,0.24672469953722143,18.05295231589418,483,0.30000555515289307,0
71,random,1,NONE,0.22867875170247284,9.954377552085738,342,0.4082183539867401,0
