event_id,episode,step,target_clearance,min_lidar_clearance,clearance_change,goal_distance,normalized_linear_action,normalized_angular_action,linear_velocity,angular_velocity,reward_progress,reward_clearance,reward_turning,reward_inflation,reward_time,reward_reverse_recovery,reward_total
00,2,190,0.5,0.4953935146331787,0.019099533557891846,3.8694430438778227,0.7203110456466675,0.010644674301147461,0.2530503644505268,0.03007564488166038,0.2811556093995615,-0.09549751877784729,-4.5695290209409904e-05,0.0,-0.05,0.0,0.13561239533150482
00,2,192,0.45,0.4573237895965576,0.019069939851760864,3.832604879368431,0.7033638954162598,0.011680901050567627,0.2483642054834961,0.033043735526878296,0.27479501062128486,-0.09534969925880432,-5.502491425513909e-05,0.0,-0.05,0.0,0.0845906106769311
00,2,195,0.4,0.39881348609924316,0.02079102396965027,3.777164277133632,0.7429271936416626,0.032518088817596436,0.2588831798677522,0.09055477666746725,0.2789453306302647,-0.10395511984825134,-0.0004264387977487811,-0.05,-0.05,0.0,-0.22473357104374417
00,2,197,0.35,0.35662561655044556,0.021939575672149658,3.739505443551121,0.7619400024414062,0.041861340403556824,0.2639773838349306,0.11660433870878756,0.2838730609502105,-0.10969787836074829,-0.000706696507723838,-0.05,-0.05,0.0,-0.5847187840827515
00,2,246,0.3,0.30000659823417664,-0.004088401794433594,3.645467941976817,-0.06983930617570877,0.0010074339807033539,0.006944407855053627,0.014034240493564727,-0.002545564488765084,0.02044200897216797,-4.0929823836988283e-07,-0.05,-0.05,0.0,-0.041219946870499555
05,8,252,0.5,0.49608099460601807,0.020026683807373047,2.350572453845941,1.0,0.14511209726333618,0.3027730297978047,0.2556261032626482,0.2013336835003421,-0.10013341903686523,-0.008492076976998273,0.0,-0.05,0.0,0.042708187486478574
05,8,254,0.45,0.45296525955200195,0.025063425302505493,2.3216196566412424,0.9993237257003784,0.07881511747837067,0.3377402543562431,0.22382997356421236,0.2133047509534025,-0.12531712651252747,-0.002505103875849212,0.0,-0.05,0.0,-0.07528862475700032
05,8,256,0.4,0.4051145017147064,0.021179020404815674,2.2909461312216295,1.0,0.12279769778251648,0.30973174164210526,0.22534060018587612,0.2176898211247713,-0.10589510202407837,-0.0060811698528991515,-0.05,-0.05,0.0,-0.27412280862663624
05,8,258,0.35,0.3605506718158722,0.021648257970809937,2.261183099392096,1.0,0.12518444657325745,0.30889121935922137,0.2278082580666018,0.21937428495553135,-0.10824128985404968,-0.006319859623318536,-0.05,-0.05,0.0,-0.644634603646135
05,8,327,0.3,0.3000335395336151,-0.0005578398704528809,2.2487501626211803,-0.021792765706777573,0.024912036955356598,-0.003244058379457973,0.03188551292104834,-0.005116907880655663,0.0027891993522644043,-0.0002502794335456905,-0.05,-0.05,0.0,-0.09699958925740815
08,14,159,0.5,0.5070947408676147,0.017166495323181152,6.146994703835659,0.8847200870513916,0.0051780641078948975,0.29824893564413246,0.014424030118073963,0.38368401670632046,-0.08583247661590576,-1.0812883663317692e-05,0.0,-0.05,0.0,0.24784072720675138
08,14,163,0.45,0.442571222782135,0.014827430248260498,6.053433510841876,0.6169036626815796,-0.012195378541946411,0.22492022572446058,-0.03277321192110521,0.31817863414173697,-0.07413715124130249,-5.997872851806968e-05,-0.05,-0.05,0.0,0.07798103141295835
08,14,166,0.4,0.3966526985168457,0.014111906290054321,5.986610483825896,0.744010329246521,-0.014458268880844116,0.259832864484184,-0.04038457758153948,0.3124243583432573,-0.07055968046188354,-8.430227186033513e-05,-0.05,-0.05,0.0,-0.048615630178062946
08,14,169,0.35,0.3450758755207062,0.025947481393814087,5.925477979668245,0.2502001225948334,-0.053199172019958496,0.20854075274931075,-0.03627228489917021,0.31831599878668904,-0.12973740696907043,-0.001141343659687492,-0.05,-0.05,0.0,-0.6909871936564915
08,14,176,0.3,0.3000509440898895,-0.004344761371612549,5.804005780596518,0.29287639260292053,-0.028127893805503845,0.13942407062006623,-0.06350947496954769,0.2326154134613656,0.021723806858062744,-0.0003190664291580632,-0.05,-0.05,0.0,0.19746776760639578
12,16,250,0.5,0.5046501755714417,0.02094891667366028,2.348408639920414,0.8818950653076172,0.04749442636966705,0.2972800632403978,0.13010748757548635,0.22592603142608914,-0.10474458336830139,-0.0009096869778321727,0.0,-0.05,0.0,0.07027176107995557
12,16,253,0.45,0.4413195252418518,0.024873048067092896,2.305551905233246,0.655444860458374,-0.02237950637936592,0.28140820136528133,0.11914790839248714,0.21527117852482514,-0.12436538934707642,-0.00020197968507660376,-0.05,-0.05,0.0,-0.17621206771241282
12,16,255,0.4,0.3932276666164398,0.025721609592437744,2.276175937996912,0.5101224184036255,-0.06708802282810211,0.2741627760985522,0.14757880563935546,0.21722989555484906,-0.12860804796218872,-0.0018150837560004874,-0.05,-0.05,0.0,-0.4375686351572282
12,16,257,0.35,0.34347113966941833,0.025910288095474243,2.2463802887782918,0.329396516084671,-0.0801631435751915,0.25042758448324415,0.2175856810405026,0.2115145243803851,-0.12955144047737122,-0.0025915295401908764,-0.05,-0.05,0.0,-0.7979370885014043
