scenario_id,category,outcome,failure_reason,final_distance_to_goal,minimum_clearance,path_length,episode_time,mean_linear_vel,mean_angular_vel,angular_reversals,no_turn_events,oscillation_events,nav2_path_stale,fallback_path_usage
1,wall_blocked,FAILED,LOW_PROGRESS_STRICT,0.39147220703476204,0.3000032603740692,16.125786683710388,141.9,0.23033897229429987,0.24205720129969222,1,0,0,0,0
3,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,6.375793960077108,0.30013298988342285,6.360229094349827,262.1,0.048719886505883096,0.13136029517427092,0,0,0,0,0
8,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,7.106700348109368,0.3000010550022125,18.14642660896817,451.2,0.1215249226736869,0.15176461193239557,0,0,0,0,0
11,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.5103175375926708,0.30000001192092896,40.17630163876492,610.9,0.21267790679897533,0.21663968377883255,0,0,0,0,0
13,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.629479724044396,0.3000011146068573,9.890647494204146,711.0,0.15737823728735914,0.23468922969599565,0,0,0,0,0
14,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,8.579632850391569,0.3000016212463379,12.372422988168312,730.4,0.1589282492116821,0.4494889310092246,1,0,0,0,0
16,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.47336288149172007,0.3000289499759674,10.85735524576343,811.7,0.22465182983681103,0.22359263575917007,0,0,0,0,0
18,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,5.557010698755903,0.30009615421295166,4.391413279117776,864.7,0.15279291975333592,0.5373973163852627,0,0,0,0,0
19,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.8039811611615563,0.3000081479549408,11.479221707608243,926.7,0.17803825780351987,0.6064276867117727,0,0,0,0,0
20,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,8.434920483013633,0.30001187324523926,4.863541356974458,943.1,0.2029755648062564,0.38322865058564465,0,0,0,0,0
21,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,1.2216976465076255,0.30002546310424805,13.338419767195466,996.7,0.24572631569665912,0.2360336520166187,0,0,0,0,0
23,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,6.352890440090753,0.3001025319099426,2.7738085360388385,1066.8,0.22729103187270355,0.247191715228489,0,0,0,0,0
28,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,5.847097927351442,0.300238698720932,3.1300206296345396,1273.8,0.24155797408320565,0.26238351415191485,1,0,0,0,0
33,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.5605431607450536,0.300039678812027,9.222000883766315,1517.8,0.15765303434524738,0.20594095830035733,0,0,0,0,0
34,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,8.024839947958009,0.3000618815422058,25.6157439038639,1537.0,0.15905168362059297,0.5090116859184101,1,0,0,0,0
36,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.5156378631459183,0.3000032305717468,9.838550858409542,1626.1,0.22324808890342387,0.19939162849564782,0,0,0,0,0
39,wall_blocked,FAILED,WALL_BLOCKED_FAILURE,0.7634236338301826,0.300010085105896,18.253168678705663,1759.1,0.1857102095189819,0.46407786466653145,0,0,0,0,0
42,complex,FAILED,COLLISION,0.6534200748020305,0.3000498414039612,12.018570362230209,1864.5,0.2334449139388899,0.19607260300417756,0,0,0,0,0
50,complex,FAILED,TIMEOUT,0.9036637197967498,0.3000427782535553,18.11229840458863,2149.8,0.21630115527364754,0.5901772867047543,0,0,0,0,0
54,complex,FAILED,COLLISION,0.6426696791379262,0.3000132739543915,15.729423527630036,2289.8,0.2255134632857037,0.4167042284821416,0,0,16,0,0
55,complex,FAILED,COLLISION,2.3725282502518104,0.300119012594223,1.6297728537543485,2305.0,0.20134635640895396,0.4484466104460476,0,0,0,0,0
58,complex,FAILED,TIMEOUT,0.83637194644094,0.3000263571739197,14.818038215103002,2419.2,0.1554547381809607,0.23207322899426,0,0,0,0,0
63,complex,FAILED,COLLISION,2.4122553724958884,0.30004721879959106,2.041099465755748,2559.3,0.23307829197467736,0.6665830867731843,0,0,0,0,0
66,complex,FAILED,COLLISION,0.805755092369028,0.3000888526439667,8.268122213407956,2649.4,0.24254580471718665,0.26052648981693,0,0,0,0,0
68,random,FAILED,COLLISION,0.6127907071487523,0.30009615421295166,7.972841909179839,2706.3,0.22869946137026892,0.23021631488939037,0,0,0,0,0
69,random,FAILED,TIMEOUT,0.5161216380179977,0.30003684759140015,25.083317321355768,2768.3,0.22978812896035042,0.27600052744746234,0,0,0,0,0
72,random,FAILED,COLLISION,0.5542423605052058,0.30002304911613464,20.686705974945777,2905.9,0.23872091833669,0.2772623574281537,0,0,0,0,0
73,random,FAILED,COLLISION,0.47026671684933546,0.3000268340110779,14.225341848073919,2944.5,0.21949486968346713,0.25093195407015245,0,0,0,0,0
78,random,FAILED,COLLISION,0.5829346892811923,0.30005714297294617,15.272930028759722,3102.9,0.23722922246948552,0.21230633252033962,0,0,0,0,0
80,random,FAILED,COLLISION,6.370998609579443,0.3001236319541931,8.137283445672491,3146.8,0.21513976640042362,0.6374377662428747,0,0,0,0,0
81,random,FAILED,COLLISION,0.3942684110947339,0.30000758171081543,8.172620825900651,3180.9,0.23954679924002467,0.24833707960572013,0,0,0,0,0
87,random,FAILED,COLLISION,0.39253487070485366,0.30027997493743896,13.268345043502146,3386.0,0.2290867034767319,0.2818550732213368,0,0,0,0,0
90,random,FAILED,COLLISION,0.37705318737756066,0.3000035285949707,11.794433033102772,3514.2,0.25167948433863246,0.27738148813075436,0,0,0,0,0
94,random,FAILED,COLLISION,1.234718796547945,0.3001146614551544,10.90345632722339,3659.3,0.23573585843473366,0.22934953080645462,0,0,0,0,0
96,random,FAILED,COLLISION,1.5124017022840153,0.30005431175231934,6.291185483009774,3691.8,0.27209189787116944,0.19018118508043083,1,0,0,0,0
99,random,FAILED,COLLISION,6.000819829745921,0.3000781238079071,7.084695843270288,3759.2,0.1613514779585846,0.6067357066179825,0,0,0,0,0
105,random,FAILED,TIMEOUT,1.517686918739063,0.3002024292945862,17.70067694097979,3967.8,0.24455157009058937,0.2594381556781634,1,0,0,0,0
106,random,FAILED,COLLISION,3.0786171205413275,0.3000151216983795,9.67500255570536,3980.0,0.2172005359552728,0.7236006887753805,0,0,0,0,0
107,random,FAILED,TIMEOUT,0.5853245212747162,0.30004653334617615,9.340196696892821,4042.0,0.14969651181759946,0.26987296144937495,0,0,0,0,0
110,random,FAILED,COLLISION,0.5294440309637412,0.3001949191093445,12.064706122338837,4132.1,0.23467694007255813,0.267732974035485,0,0,0,0,0
111,random,FAILED,TIMEOUT,1.3635849494994443,0.3000795543193817,19.943597667086113,4194.1,0.21284418708449246,0.3623934762983273,0,0,0,0,0
112,random,FAILED,COLLISION,0.7330458188527659,0.30002856254577637,12.415847491714231,4244.2,0.2288412200360303,0.2333798842740821,0,0,0,0,0
116,random,FAILED,TIMEOUT,9.647984103832115,0.30061063170433044,12.049419869753867,4406.8,0.14667315709001097,0.30258963145203877,0,0,0,0,0
117,random,FAILED,COLLISION,4.120574855902153,0.3000050187110901,3.9727583061781493,4424.6,0.13505489170539509,0.3356904522711529,0,0,0,0,0
119,random,FAILED,COLLISION,0.4294021253229222,0.3000202775001526,10.916921538044663,4488.8,0.21709184564791012,0.18441510795760863,0,0,0,0,0
120,random,FAILED,COLLISION,4.428939418813162,0.30003222823143005,10.488460312472357,4504.8,0.15857876330520965,0.5174632492943534,0,0,0,0,0
124,random,FAILED,COLLISION,0.5061750033738435,0.3000239133834839,29.665202110944044,4658.9,0.22056945457517335,0.2599322593659937,0,0,0,0,0
128,random,FAILED,COLLISION,5.158701027283724,0.30004462599754333,12.617259261101658,4751.6,0.23161626526387377,0.4578917498442092,0,0,0,0,0
133,random,FAILED,COLLISION,0.36231374661867216,0.30000075697898865,16.57473521673916,4908.7,0.22773383953890142,0.21407222330674178,0,0,0,0,0
