Test_Name,Timestamp,Robot_X,Robot_Y,Robot_Yaw,Path_Length_Meters,Num_Poses,WP1_X,WP1_Y,WP2_X,WP2_Y,WP3_X,WP3_Y,WP4_X,WP4_Y,WP5_X,WP5_Y
TEST_3_WALL_BLOCKED,1787963789.774191,6.109993098759106e-05,1.4464325429516833e-05,-9.645034776409424e-05,8.272082906173045,330,-0.4897629141963643,0.005642437808165296,-0.9674699392852772,0.037919425004728356,-1.4547712616692636,0.13816602806151115,-1.9421592157530752,0.24525024921644714,-2.37776983611882,0.44703536961171614
TEST_3_WALL_BLOCKED,1787963790.7921894,0.03472414691517118,-0.09514765214381213,0.6894552906513849,8.333232750906346,332,-0.36603581532484686,0.3733866165295747,-0.7216948830248205,0.69744927205558,-0.9406889419615324,1.1416109873708657,-1.2592456125588678,1.5136445470295954,-1.5105981419336616,1.937042338001529
TEST_3_WALL_BLOCKED,1787963791.8228223,0.06624857383971325,0.21626199002414861,1.6745715436659492,8.31656456163705,331,0.04285394911281834,0.5042620539776189,0.08231794819444552,0.9861473712749707,0.1717555477775616,1.4730254986691402,0.2973344055571967,1.9563505129404806,0.4844948876253172,2.4032233339581386
TEST_3_WALL_BLOCKED,1787963792.8477333,0.06026565223219038,0.6290824979253687,2.183971650631018,8.5158427841847,339,0.2604151935632213,0.4274352076426368,0.4744668769222449,0.8791841724202425,0.67889109798078,1.3354841824931754,0.8905999371618251,1.7879925015190727,1.2380860356593284,2.118806776728328
TEST_3_WALL_BLOCKED,1787963794.630126,-0.20047134794779453,0.8441857936926886,-2.764156401194611,8.204191306824148,327,0.4189548871888219,0.09198404580103392,0.9070171533989606,-0.012546212486572061,1.4015857035803603,-0.0860180631589278,1.891261616043884,-0.1808900098932319,2.216943434487785,-0.5280110119368423
TEST_3_WALL_BLOCKED,1787963795.6575384,-0.4226057046882022,0.7081494741303233,-2.865630024329714,7.820846970943676,312,0.4855744752157593,-0.01317715601654279,0.985296008667917,-0.02550708460142348,1.4851426155843768,-0.032219316943872145,1.9154047630604734,-0.2398867692468556,2.083846456359092,-0.6877525643411955
TEST_3_WALL_BLOCKED,1787963796.6779733,-0.683869336063489,0.4890250760629155,-3.0463107389127653,7.50436308153288,299,0.5070782822852901,-0.005582662657992454,1.0055983795861585,0.031425709656541456,1.4940000676824754,-0.009561860261946165,1.84839633840389,-0.33358472880813195,1.908735249179709,-0.8086297470724424
TEST_3_WALL_BLOCKED,1787963797.6989126,-0.9769847523974189,0.4357606854609794,-3.1063099063281125,7.358395450561592,293,0.5131887366689356,0.023392073990585793,1.007264330623871,0.0949703521054791,1.4453126760159445,-0.10825842479792502,1.6960798967513684,-0.5196501656584109,1.7135300375565312,-1.0136249640220532
TEST_3_WALL_BLOCKED,1787963798.7186284,-1.2350121522750643,0.3921851301070285,3.1280733286114684,7.005451653789463,279,0.5035555978072241,0.05198956459533133,0.9927735521458445,0.03978232192591119,1.3487906473014835,-0.29028417220142744,1.4931687134993894,-0.7467855063803747,1.5377369579778566,-1.2285448534308787
TEST_3_WALL_BLOCKED,1787963799.7374487,-1.5023430222003198,0.3141725015142215,3.0597433241170293,6.713910485690522,267,0.48641933933597414,0.03500651655979456,0.9483322001520977,-0.10678093484107642,1.2478487588691278,-0.486525073523641,1.2823941371139154,-0.982575619788381,1.3279629537982451,-1.478872692431676
TEST_3_WALL_BLOCKED,1787963800.755073,-1.6495448436425832,0.16257672986590418,2.8280476317280687,6.585368592377949,262,0.4848370520640759,-0.008688061604280428,0.9542541872685795,-0.1423902725772046,1.278272034325346,-0.5013656252079515,1.4256535188912012,-0.9775808437417709,1.5844768325339822,-1.4498028825343527
TEST_3_WALL_BLOCKED,1787963801.7776124,-1.928806923969731,0.26487008626122066,2.8011376670164734,6.318416486585849,252,0.49553258923171173,-0.016805741708807054,0.8812128192079909,-0.3098027807740272,1.1127917271505465,-0.7491323730205195,1.3021128905655006,-1.1964364288492284,1.467874340513092,-1.656776039046349
TEST_3_WALL_BLOCKED,1787963802.806934,-2.1549070434922064,0.34226565634999795,2.6891724575873703,6.132760825361867,244,0.4504898197658056,-0.054726494168414574,0.7729672515439305,-0.40898456918405646,1.0353273084582924,-0.8322716072419918,1.342261095928091,-1.2213214634325333,1.5387267602490047,-1.6713757769239526
TEST_3_WALL_BLOCKED,1787963803.8267806,-2.399343573620736,0.45584504258312797,2.4112665783613236,5.841815346588084,232,0.4644748806419621,-0.1302466186075939,0.8053919352841974,-0.49232694092446194,1.1894948834634005,-0.8122852133787317,1.5736101796801707,-1.120689869831429,1.7696469952983418,-1.5603649741371783
TEST_3_WALL_BLOCKED,1787963804.8558893,-2.6279790909707743,0.6268267543236207,2.0448467067217235,5.5057781511012385,219,0.4525079107684802,-0.19016061941881834,0.9000044026858991,-0.41261042549302673,1.363798359612453,-0.5993251168028784,1.8019475464974495,-0.8256003376068841,2.2227117794465023,-1.0623269983684374
