event_id,episode,type,min_clearance,start_clearance,recovery_amount,max_neg_change,max_pos_change,num_danger_steps,critical_steps,mean_linear,mean_angular,max_abs_angular,forward_pct,backward_pct,stationary_pct,time_to_first_turn,clearance_at_first_turn,clearance_after_turn
0,2,WRONG-DIRECTION COMMITMENT,0.30000659823417664,0.43825387954711914,0.0,-0.005782067775726318,0.021939575672149658,93,88,0.037767416714336546,0.042845302447248046,0.22341762250814512,12.903225806451612,0.0,87.09677419354838,-1,-1.0,-1.0
1,3,SUCCESSFUL AVOIDANCE,0.3663386106491089,0.4379264712333679,0.07361328601837158,-0.010703504085540771,0.011365890502929688,26,0,0.18534054137566225,0.06679491924285544,0.2575077332499058,100.0,0.0,0.0,-1,-1.0,-1.0
2,4,SUCCESSFUL AVOIDANCE,0.39410489797592163,0.43091118335723877,0.05498623847961426,-0.004957854747772217,0.01901230216026306,28,0,-0.010643294057501487,-0.03146638900457887,0.23295687308321417,7.142857142857142,0.0,92.85714285714286,-1,-1.0,-1.0
3,5,SUCCESSFUL AVOIDANCE,0.4030037522315979,0.4384557604789734,0.03758728504180908,-0.010492891073226929,0.012886345386505127,19,0,0.18585660081074845,0.06892045517210658,0.1577012324967063,100.0,0.0,0.0,-1,-1.0,-1.0
4,8,SUCCESSFUL AVOIDANCE,0.4029802083969116,0.4490013122558594,0.035804927349090576,-0.011734217405319214,0.010581374168395996,27,0,0.20518147462631264,-0.055282077707367205,0.282747544205771,100.0,0.0,0.0,-1,-1.0,-1.0
5,8,WRONG-DIRECTION COMMITMENT,0.3000335395336151,0.42790183424949646,0.0,-0.009131044149398804,0.0239391028881073,158,154,0.016256457800018866,0.04693991433960574,0.37462190247154226,6.329113924050633,0.0,93.67088607594937,-1,-1.0,-1.0
6,11,SUCCESSFUL AVOIDANCE,0.3953545093536377,0.44674038887023926,0.05289667844772339,-0.011771947145462036,0.005580902099609375,26,0,0.2221033006806842,-0.029764797522380978,0.145070822416096,100.0,0.0,0.0,-1,-1.0,-1.0
7,11,SUCCESSFUL AVOIDANCE,0.41374582052230835,0.44117411971092224,0.031696587800979614,-0.007570445537567139,0.012506484985351562,12,0,0.24121828339457452,-0.17742416901148805,0.3378602309760038,100.0,0.0,0.0,-1,-1.0,-1.0
8,14,WRONG-DIRECTION COMMITMENT,0.3000509440898895,0.442571222782135,0.0,-0.004344761371612549,0.025947481393814087,37,31,0.10381650405680541,0.010810050791233435,0.29444773730116525,43.24324324324324,0.0,56.75675675675676,-1,-1.0,-1.0
9,15,SUCCESSFUL AVOIDANCE,0.42446717619895935,0.44807326793670654,0.02289554476737976,-0.008526086807250977,0.004620879888534546,20,0,0.221162536691507,-0.03222841635946281,0.2038981713112125,100.0,0.0,0.0,-1,-1.0,-1.0
10,15,SUCCESSFUL AVOIDANCE,0.4164498448371887,0.44823628664016724,0.03204864263534546,-0.00604170560836792,0.012401342391967773,14,0,0.23977516296292753,-0.08938762337281671,0.37240305012075753,100.0,0.0,0.0,-1,-1.0,-1.0
11,16,SUCCESSFUL AVOIDANCE,0.3592270612716675,0.44832074642181396,0.08725595474243164,-0.012673884630203247,0.013884097337722778,33,0,0.20253202547761529,-0.07742089501633082,0.32141323428755336,100.0,0.0,0.0,-1,-1.0,-1.0
12,16,WRONG-DIRECTION COMMITMENT,0.3000401258468628,0.4413195252418518,0.0,-0.009001463651657104,0.025910288095474243,132,128,0.02670934916349262,0.055123591854405574,0.49705807053141726,8.333333333333332,0.0,91.66666666666666,-1,-1.0,-1.0
13,17,SUCCESSFUL AVOIDANCE,0.3866947293281555,0.4399862587451935,0.058351993560791016,-0.007068932056427002,0.01341196894645691,22,0,0.19291968985919483,0.05674057625900054,0.2638657965820476,100.0,0.0,0.0,-1,-1.0,-1.0
14,18,WRONG-DIRECTION COMMITMENT,0.3000083565711975,0.44865280389785767,0.0,-0.005280405282974243,0.01980358362197876,90,81,0.04347744077830586,0.007899967315584708,0.34603642179351224,20.0,0.0,80.0,-1,-1.0,-1.0
15,19,WRONG-DIRECTION COMMITMENT,0.3000998795032501,0.4484158754348755,0.0,-0.011860966682434082,0.02023741602897644,76,68,0.09905393385945375,-0.05266384330074009,0.48908428419982997,57.89473684210527,1.3157894736842104,40.78947368421053,-1,-1.0,-1.0
16,21,SUCCESSFUL CRITICAL RECOVERY,0.30000096559524536,0.4414328634738922,0.14863711595535278,-0.018944621086120605,0.018991798162460327,61,27,0.1922618283971309,-0.037915960434886604,0.6028693351102983,100.0,0.0,0.0,49,0.35134902596473694,0.3572951853275299
17,23,WRONG-DIRECTION COMMITMENT,0.3012382686138153,0.43896913528442383,0.0,-0.0045812129974365234,0.022617578506469727,44,39,0.06891684208661808,-0.006001739947153677,0.1848827140949124,31.818181818181817,0.0,68.18181818181817,-1,-1.0,-1.0
18,24,SUCCESSFUL AVOIDANCE,0.35622960329055786,0.4423220753669739,0.08959954977035522,-0.01280173659324646,0.011334747076034546,33,0,0.20055871795029373,-0.0777827646674961,0.30582541081250936,100.0,0.0,0.0,-1,-1.0,-1.0
19,24,WRONG-DIRECTION COMMITMENT,0.30001893639564514,0.43614041805267334,0.0,-0.009076982736587524,0.02517712116241455,140,136,0.025088101216682764,0.051691549945535896,0.3907306963876929,7.857142857142857,0.0,92.14285714285714,-1,-1.0,-1.0
20,28,SUCCESSFUL AVOIDANCE,0.3798867464065552,0.43725335597991943,0.06339699029922485,-0.013370484113693237,0.014934808015823364,26,0,0.20518295077676746,-0.025335237619609898,0.4253825928994893,100.0,0.0,0.0,-1,-1.0,-1.0
21,28,FRONT COLLISION,0.30000418424606323,0.4482465386390686,0.0,-0.00847405195236206,0.025996536016464233,136,131,0.02807047531183418,0.05091268247432403,0.5115250544503891,8.088235294117647,0.0,91.91176470588235,9,0.30008214712142944,0.30023154616355896
22,30,WRONG-DIRECTION COMMITMENT,0.30006417632102966,0.44562244415283203,0.0,-0.006186872720718384,0.020438462495803833,88,80,0.04428734394545008,0.009158561246769625,0.36965922927279277,19.318181818181817,0.0,80.68181818181817,-1,-1.0,-1.0
23,31,SUCCESSFUL CRITICAL RECOVERY,0.30002328753471375,0.4386405348777771,0.1400071680545807,-0.020680367946624756,0.02098715305328369,51,25,0.17930296459385314,0.031541132546398586,0.7669137591674422,100.0,0.0,0.0,42,0.39582332968711853,0.4167439937591553
24,32,WRONG-DIRECTION COMMITMENT,0.3000399172306061,0.43699774146080017,0.0,-0.02245718240737915,0.03150394558906555,53,49,0.051157927505832236,0.08672680931974984,0.2760026717257731,22.641509433962266,0.0,77.35849056603774,-1,-1.0,-1.0
25,35,FRONT COLLISION,0.30014273524284363,0.44510945677757263,0.0,-0.008565932512283325,0.01978236436843872,28,22,0.21806797504055694,-0.11862582111331633,0.7083192937822517,100.0,0.0,0.0,23,0.30074888467788696,0.3034510314464569
26,37,SUCCESSFUL AVOIDANCE,0.396131694316864,0.44699251651763916,0.05329561233520508,-0.008265525102615356,0.010760098695755005,25,0,0.17153738213346248,0.007913663825048746,0.16496599502832837,100.0,0.0,0.0,-1,-1.0,-1.0
27,39,SUCCESSFUL CRITICAL RECOVERY,0.3000197112560272,0.4285725951194763,0.14859053492546082,-0.01766154170036316,0.020641177892684937,58,26,0.18706168778441393,-0.0283537083483412,0.8123544018779458,100.0,0.0,0.0,48,0.35237759351730347,0.3909146785736084
