Metric,Champion,Stage-A,Diff
success,0.52,0.5466666666666666,0.026666666666666616
collision,0.32666666666666666,0.3933333333333333,0.06666666666666665
timeout,0.15333333333333332,0.06,-0.09333333333333332
path_length,6.1137853,6.412919,0.29913378
episode_time,38.922000000000004,33.55133333333333,-5.370666666666672
minimum_clearance,0.46694376587867736,0.44765005727609,-0.01929370860258739
oscillation_events,0,24,24
