episode,initial_pos_x,initial_pos_y,goal_x,goal_y,initial_distance,final_pos_x,final_pos_y,final_distance,distance_reduction,steps,duration_s,path_length,termination,min_lidar_clearance,min_lidar_before_collision,linear_vel_mean,linear_vel_min,linear_vel_max,angular_vel_mean,angular_vel_min,angular_vel_max,pct_forward,pct_backward,pct_stationary,pct_high_angular,inflation_zone_steps,collision_risk_events,distance_before_termination,collision_pos_x,collision_pos_y,collision_goal_x,collision_goal_y,collision_min_lidar,collision_linear_vel,collision_angular_vel,collision_motion_state,collision_classification,timeout_classification
16,0.02589532416181678,-0.003618867907092802,3.0774807929992676,4.210935592651367,5.203330008238291,-0.07099153013772745,-0.41452122816457615,5.595330979557188,-0.392,800,40.0,8.4194,TIMEOUT,0.8696,,0.003127,-0.093255,0.33,-0.002012,-0.518742,0.627185,24.75,60.38,14.88,0.0,0,0,5.5953,,,,,,,,,,OTHER
17,0.0010130599859878575,0.0001966508746411003,2.5260443687438965,-0.4335569143295288,2.5620158597352605,2.1698952256001016,-0.7626105563257245,0.48489020558577983,2.0771,95,4.75,2.3288,SUCCESS,0.8143,,0.238427,0.054172,0.33,-0.168169,-1.024785,0.428062,100.0,0.0,0.0,1.05,0,0,0.4849,,,,,,,,,,
18,0.03315243164811432,0.0010946991189007588,0.9785416126251221,3.974982976913452,4.084794823231801,-0.14192022947964994,-0.12668535839740563,4.25195459436064,-0.1672,800,40.0,7.4473,TIMEOUT,0.9197,,-0.000983,-0.099461,0.33,-0.005709,-0.437564,0.645856,22.62,50.75,26.62,0.0,0,0,4.252,,,,,,,,,,OTHER
19,-0.0009502300723006063,0.0007375810581331339,0.888107419013977,-2.940748453140259,3.0729080026553026,0.4080348701635683,-2.890138018761514,0.48273291603922486,2.5902,157,7.85,3.5101,SUCCESS,0.7694,,0.213038,0.029622,0.33,-0.138998,-1.449046,0.426043,96.82,0.0,3.18,1.91,0,0,0.4827,,,,,,,,,,
20,0.053208240249250055,-0.0023699082849485036,-7.0377326011657715,-0.9492391347885132,7.15388030012713,-6.622125890977541,-0.691078342403941,0.48926059751232154,6.6646,385,19.25,8.5091,SUCCESS,0.3,,0.208317,-0.067377,0.33,-0.082159,-1.422225,1.057891,93.25,2.86,3.9,1.82,46,0,0.4893,,,,,,,,,,
21,0.02373361118415815,-3.681292446752991e-05,-4.2812299728393555,-1.3720703125,4.518316875090331,-4.346060498945314,-0.8937639631812926,0.48267997774277394,4.0356,275,13.75,5.9487,SUCCESS,0.6382,,0.200662,-0.00058,0.33,-0.196094,-1.465343,0.873295,98.55,0.0,1.45,5.82,0,0,0.4827,,,,,,,,,,
22,0.07103406583071442,-0.01150315093941923,5.301045894622803,-3.990907669067383,6.571809800062873,2.566149456577172,-3.2106700042690512,2.84401641000973,3.7278,406,20.3,5.9253,COLLISION,0.4564,0.5096,0.098547,-0.074745,0.33,-0.071876,-1.195146,0.533171,44.83,26.85,28.33,0.25,39,0,2.844,2.566149456577172,-3.2106700042690512,5.301045894622803,-3.990907669067383,0.5096,-0.019552,-0.02309,STATIONARY,OTHER,
23,-0.00023065411107009437,9.50722706353143e-06,-3.0960936546325684,2.4287476539611816,3.934861713376908,-3.097538376196686,1.9385487486234145,0.4902010342856724,3.4447,340,17.0,5.0327,SUCCESS,0.3057,,0.115698,-0.099521,0.33,-0.002159,-0.669954,0.674912,70.29,7.06,22.65,0.0,40,0,0.4902,,,,,,,,,,
24,0.0797674822305712,-0.0017040267246840517,0.855482280254364,4.258472919464111,4.330224135158778,-0.22729325351767848,-0.018745531153295608,4.4121423969356774,-0.0819,800,40.0,7.3089,TIMEOUT,0.9066,,-0.003856,-0.100174,0.33,-0.012167,-0.434456,0.657546,22.12,51.5,26.38,0.0,0,0,4.4121,,,,,,,,,,OTHER
25,-0.001554051569696624,-3.462461556842499e-06,2.46470308303833,-1.404197096824646,2.8379894321140124,2.0730480301927336,-1.134015391025983,0.47580650958952025,2.3622,100,5.0,2.4221,SUCCESS,0.5981,,0.235595,-0.005885,0.33,-0.134564,-1.19382,0.444667,96.0,0.0,4.0,1.0,0,0,0.4758,,,,,,,,,,
26,0.030457170273666817,-0.0008187241177481274,4.710305690765381,-4.995406150817871,6.8444784854435365,1.757495995462654,-4.8974599788875715,2.954433710420591,3.89,800,40.0,6.0512,TIMEOUT,0.4049,,0.074812,0.002346,0.33,-0.017789,-0.995929,0.449618,22.62,0.0,77.38,0.0,0,0,2.9544,,,,,,,,,,TOO_SLOW
27,0.0004631119719825383,0.00014359164988129793,3.335390329360962,-0.5718415379524231,3.383623284848354,3.8315332092270524,-0.5776645953808234,0.49617705029518683,2.8874,184,9.2,4.4806,SUCCESS,0.8171,,0.237411,0.019496,0.33,-0.020816,-1.005126,0.959502,98.37,0.0,1.63,0.54,0,0,0.4962,,,,,,,,,,
28,0.03735679160850372,-0.007206179634537961,-0.8076558709144592,-1.7846815586090088,1.9681120706617765,-1.382619616049416,-1.3768260432789468,0.7049322163192473,1.2632,800,40.0,20.0076,TIMEOUT,0.8243,,0.239671,0.033848,0.33,0.308292,-1.459843,1.041438,99.62,0.0,0.38,0.75,0,0,0.7049,,,,,,,,,,NEAR_GOAL_BUT_NOT_REACHED
29,0.02831544018920737,-0.009969112012196406,-2.97731876373291,1.9542388916015625,3.5905361785180343,-3.059874456831129,1.47288452657659,0.4883825009063304,3.1022,235,11.75,4.9682,SUCCESS,0.4444,,0.195405,0.02929,0.33,-0.231075,-1.468495,0.165052,99.15,0.0,0.85,2.55,0,0,0.4884,,,,,,,,,,
30,0.083969831892274,0.009836289484112446,-3.5119504928588867,7.0376458168029785,7.894349228038516,-1.3385457913135375,0.7644800063071968,6.638998213787425,1.2554,187,9.35,2.5241,COLLISION,0.3,0.3054,0.095117,-0.096935,0.33,-0.266734,-1.321845,0.089881,57.22,29.41,13.37,4.81,34,0,6.639,-1.3385457913135375,0.7644800063071968,-3.5119504928588867,7.0376458168029785,0.3054,0.099122,-0.516186,FORWARD,FRONT_COLLISION,
