event_id,obstacle_dir,goal_bearing,obstacle_between,left_free,right_free,preferred_turn,actual_turn,time_to_first_turn,clearance_at_start,clearance_at_turn,clearance_after_turn,comparison,classification
00,FRONT_LEFT,FRONT_LEFT,YES,0.43825387954711914,0.9632279276847839,RIGHT,NONE,-1,0.43825387954711914,0.43825387954711914,0.43825387954711914,NO_TURN,C. NO_TURN
05,FRONT_LEFT,FRONT_LEFT,YES,0.42790183424949646,1.1383875608444214,RIGHT,NONE,-1,0.42790183424949646,0.42790183424949646,0.42790183424949646,NO_TURN,C. NO_TURN
08,FRONT_RIGHT,FRONT_RIGHT,YES,0.612850546836853,0.442571222782135,LEFT,NONE,-1,0.442571222782135,0.442571222782135,0.442571222782135,NO_TURN,C. NO_TURN
12,FRONT_LEFT,FRONT_LEFT,YES,0.4413195252418518,1.25679349899292,RIGHT,NONE,-1,0.4413195252418518,0.4413195252418518,0.4413195252418518,NO_TURN,C. NO_TURN
14,FRONT_LEFT,FRONT_LEFT,YES,0.44865280389785767,0.6502830386161804,RIGHT,NONE,-1,0.44865280389785767,0.44865280389785767,0.44865280389785767,NO_TURN,C. NO_TURN
15,FRONT_RIGHT,FRONT,YES,0.9216530323028564,0.4484158754348755,LEFT,NONE,-1,0.4484158754348755,0.4484158754348755,0.4484158754348755,NO_TURN,C. NO_TURN
17,FRONT_RIGHT,FRONT,YES,1.0887441635131836,0.43896913528442383,LEFT,NONE,-1,0.43896913528442383,0.43896913528442383,0.43896913528442383,NO_TURN,C. NO_TURN
19,FRONT_LEFT,FRONT_LEFT,YES,0.43614041805267334,1.1873704195022583,RIGHT,NONE,-1,0.43614041805267334,0.43614041805267334,0.43614041805267334,NO_TURN,C. NO_TURN
22,FRONT_LEFT,FRONT_LEFT,YES,0.44562244415283203,0.6452356576919556,RIGHT,NONE,-1,0.44562244415283203,0.44562244415283203,0.44562244415283203,NO_TURN,C. NO_TURN
24,FRONT,FRONT_RIGHT,YES,3.3150506019592285,0.48213618993759155,LEFT,NONE,-1,0.43699774146080017,0.43699774146080017,0.43699774146080017,NO_TURN,C. NO_TURN
