ep_idx,min_lidar_clearance,front_left_right_clearance,linear_velocity,angular_velocity,action_linear,action_angular,nearest_waypoint_dist,dist_to_nav2_path,path_age_stale,goal_dist,classification
42,0.3001576960086822,N/A (LiDAR array not saved),0.080808611686031,0.33019600925842924,0.09384949706666665,0.11626620033333333,0.415353194144618,N/A (Use waypoint_dist),False,0.6534200748020305,Nav2 path itself unsafe
54,0.3000688552856445,N/A (LiDAR array not saved),0.11417341316739714,-0.39540553168455767,0.21517604733333334,-0.13922729933333333,0.5172971151353255,N/A (Use waypoint_dist),False,0.6426696791379262,Nav2 path itself unsafe
55,0.3009212613105774,N/A (LiDAR array not saved),0.22763575086990995,-0.9710563105742137,0.6277663706666666,-0.34192123799999996,0.5119694391672952,N/A (Use waypoint_dist),False,2.3725282502518104,Late obstacle reaction
63,0.300047218799591,N/A (LiDAR array not saved),0.27471099118391673,-1.1831723902225495,0.7989490613333332,-0.4166099973333333,0.5027782720014979,N/A (Use waypoint_dist),False,2.4122553724958884,Late obstacle reaction
66,0.3000888526439667,N/A (LiDAR array not saved),0.08631055864195022,0.21236540520191186,0.11385657726666666,0.07477655106666667,0.5055298264787026,N/A (Use waypoint_dist),False,0.805755092369028,Nav2 path itself unsafe
68,0.3021816909313202,N/A (LiDAR array not saved),0.07420258025328316,0.24870944666862485,0.0698275644,0.08757374833333333,0.2987045039765303,N/A (Use waypoint_dist),False,0.6127907071487523,Nav2 path itself unsafe
72,0.3003436326980591,N/A (LiDAR array not saved),0.09610319398343561,0.1466575843294461,0.14946616133333332,0.05163999453333334,0.2650491895970659,N/A (Use waypoint_dist),False,0.5542423605052058,Nav2 path itself unsafe
73,0.3009867072105407,N/A (LiDAR array not saved),0.08110017890731491,0.17018314611415067,0.09490974113333332,0.05992364372666667,0.3012298944971017,N/A (Use waypoint_dist),False,0.4702667168493354,Nav2 path itself unsafe
78,0.3000656366348266,N/A (LiDAR array not saved),0.22396605845540762,0.3474963501443465,0.6230561164666667,0.12235786900000001,0.4224669913588345,N/A (Use waypoint_dist),False,0.5829346892811923,Late obstacle reaction
80,0.3001236319541931,N/A (LiDAR array not saved),0.25471999595562617,-1.033732544819514,0.7262545340000001,-0.36399033133333336,0.5081548951088156,N/A (Use waypoint_dist),False,6.370998609579443,Late obstacle reaction
81,0.3002266585826874,N/A (LiDAR array not saved),0.08328369182844954,-0.4170902868906657,0.10284978926666666,-0.14686277666666664,0.2896159862888652,N/A (Use waypoint_dist),False,0.3942684110947339,Nav2 path itself unsafe
87,0.3002799749374389,N/A (LiDAR array not saved),0.1700713344415029,-0.12426888569196061,0.4184412166666666,-0.04375664973333334,0.3235987940461601,N/A (Use waypoint_dist),False,0.3925348707048536,Late obstacle reaction
90,0.300437331199646,N/A (LiDAR array not saved),0.08971758698423703,0.1773995368083318,0.12624577046666668,0.062464626333333335,0.2976712059725066,N/A (Use waypoint_dist),False,0.3770531873775606,Nav2 path itself unsafe
94,0.3002777099609375,N/A (LiDAR array not saved),0.145415243456761,-0.00019056203464666672,0.3287827053333333,-6.70993104666667e-05,1.234718796547945,N/A (Use waypoint_dist),False,1.234718796547945,Late obstacle reaction
96,0.3000543117523193,N/A (LiDAR array not saved),0.2931343727310498,0.21980393412212526,0.942857192,0.07739575218666667,0.505414980015904,N/A (Use waypoint_dist),False,1.5124017022840153,Late obstacle reaction
99,0.3000781238079071,N/A (LiDAR array not saved),0.16278783594568572,0.3331380299131075,0.39195576666666665,0.11730212266666666,0.5048285795142038,N/A (Use waypoint_dist),False,6.000819829745921,Late obstacle reaction
106,0.3013247847557068,N/A (LiDAR array not saved),0.17306403090556463,0.6040939033826191,0.42932375066666667,0.21270912133333336,0.5254434035158871,N/A (Use waypoint_dist),False,3.0786171205413275,Late obstacle reaction
110,0.3002036809921264,N/A (LiDAR array not saved),0.10102478645741939,0.10258874046802517,0.16736286066666664,0.03612279586666666,0.3080420511330231,N/A (Use waypoint_dist),False,0.5294440309637412,Nav2 path itself unsafe
112,0.3005611300468445,N/A (LiDAR array not saved),0.14747110083699227,-0.17677350320418672,0.3362585473333334,-0.062244190799999995,0.4330904880263059,N/A (Use waypoint_dist),False,0.7330458188527659,Late obstacle reaction
117,0.3000384271144867,N/A (LiDAR array not saved),0.13663628950715065,-0.5318170934915543,0.296859236,-0.18725953733333334,0.5233246715268932,N/A (Use waypoint_dist),False,4.120574855902153,Late obstacle reaction
119,0.3001780211925506,N/A (LiDAR array not saved),0.0759250313354035,0.04222564342121278,0.07609102233333333,0.014868184299999998,0.3354562617641704,N/A (Use waypoint_dist),False,0.4294021253229222,Nav2 path itself unsafe
120,0.3067749440670013,N/A (LiDAR array not saved),0.15119484772284825,-0.8552919956048329,0.3497994479999999,-0.30115915200000004,1.002478427465347,N/A (Use waypoint_dist),False,4.428939418813162,Late obstacle reaction
124,0.3006070256233215,N/A (LiDAR array not saved),0.13014368871847787,0.1839824799100557,0.27324977733333333,0.0647825636,0.3171494459510135,N/A (Use waypoint_dist),False,0.5061750033738435,Late obstacle reaction
128,0.3236322700977325,N/A (LiDAR array not saved),0.2831870728482802,0.5533694640596707,0.8849839080000002,0.19484840299999998,0.5146169507871824,N/A (Use waypoint_dist),False,5.158701027283724,Late obstacle reaction
133,0.3004418611526489,N/A (LiDAR array not saved),0.05839375789587695,0.2779107566475868,0.012340937886666665,0.09785589993333335,0.2551325149794241,N/A (Use waypoint_dist),False,0.3623137466186721,Nav2 path itself unsafe
