Clearance,Forward_Vel,Angular_Vel,Progress_Reward,Clearance_Reward,Collision_Rate,Avoidance_Evidence
> 0.70 m,0.15996283285292995,0.18615634885232668,0.1814666976828887,0.0028470923760067933,0.0%,Moderate
0.60-0.70 m,0.22257997771533938,0.14446699493339746,0.28930378236549925,-0.005156582947504726,0.0%,None
0.50-0.60 m,0.21143139463312924,0.12901509505506173,0.2736835435518468,-0.026996739716692388,0.0%,None
0.45-0.50 m,0.16267745625371233,0.12398417911669751,0.20132539310852435,-0.0004682486707513784,0.0%,None
0.40-0.45 m,0.1696673203496687,0.11887747918523223,0.22405591801462688,-0.005090032197252085,0.0%,None
0.35-0.40 m,0.08309296954584795,0.08112696243780222,0.11634065540088082,8.910444547547918e-05,0.9%,High (Turns)
0.32-0.35 m,0.0430125362899212,0.04990078432922663,0.05835703076327566,-0.007664059069049453,0.6%,High (Turns)
0.30-0.32 m,0.05185085158453941,0.03778116088228744,0.07403443935756807,-0.021394001018433306,0.5%,High (Turns)
