episode,step,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,linear_vel,angular_vel,norm_action_linear,norm_action_angular,min_lidar,is_near_obstacle,progress_reward,clearance_reward,turning_penalty,inflation_penalty,sector_00,sector_01,sector_02,sector_03,sector_04,sector_05,sector_06,sector_07,sector_08,sector_09,sector_10,sector_11,sector_12,sector_13,sector_14,sector_15,sector_16,sector_17,sector_18,sector_19,sector_20,sector_21,sector_22,sector_23,sector_24,sector_25,sector_26,sector_27,sector_28,sector_29,sector_30,sector_31,sector_32,sector_33,sector_34,sector_35
10,214,3.008788080595762,2.3820367091689763,1.6589,3.6714322566986084,7.012646198272705,4.6778,0.126341,-0.393497,0.25942,-0.138555,0.3004,True,0.308707,-0.002126,-0.007742,-0.05,5.8338,5.9096,2.3047,2.1113,2.2127,5.4638,5.1159,4.9518,1.2793,0.4005,0.3004,0.5295,0.3014,0.3271,3.593,5.2888,5.1225,5.1005,3.4257,2.0804,1.5273,1.2363,1.0658,0.9624,0.9024,0.8945,4.8783,3.4899,2.1317,1.7343,1.8181,1.7506,2.096,4.4857,10.7388,5.7995
10,215,3.007150913130213,2.4030634310047354,1.6608,3.6714322566986084,7.012646198272705,4.6572,0.207272,-0.335569,0.553715,-0.118158,0.302,True,0.272883,0.008124,-0.00563,-0.05,5.8498,5.925,2.3026,2.1263,2.2376,5.4715,5.1206,4.954,1.0752,0.329,0.3081,0.4983,0.302,0.3277,3.5815,5.2731,5.1049,5.0819,3.4551,2.0895,1.5311,1.238,1.0665,0.9624,0.902,0.8905,4.8739,3.5968,2.1881,1.7411,1.8135,1.7776,2.0863,4.5113,10.7601,5.8185
10,216,3.0055596024560614,2.4216748308407676,1.661,3.6714322566986084,7.012646198272705,4.639,0.147985,-0.342699,0.338128,-0.120669,0.304,True,0.2743,0.009801,-0.005872,-0.05,5.8778,5.9557,2.2604,2.1428,2.3164,5.4569,5.1142,4.9542,0.7619,0.31,0.6275,0.461,0.304,0.3351,3.6252,5.2438,5.083,5.0633,3.3498,2.0493,1.5094,1.2242,1.0568,0.9554,0.8966,0.8824,4.8726,3.573,2.1982,1.7535,1.8185,1.7881,2.1021,4.5172,10.772,5.8368
10,217,3.004359014067948,2.4403286119770415,1.6648,3.6714322566986084,7.012646198272705,4.6207,0.274939,-0.17589,0.799777,-0.061933,0.3002,True,0.277475,-0.018911,-0.001547,-0.05,5.8903,5.9665,2.2797,2.1578,2.3327,5.4715,5.1223,4.9571,0.569,0.3002,0.5888,0.4309,0.3031,0.3338,3.5969,5.2317,5.0664,5.0443,3.4182,2.0728,1.5207,1.2305,1.0605,0.9574,0.8976,0.8801,4.8697,3.7208,2.2695,1.7585,1.8109,1.7975,2.0845,4.5211,10.796,5.856
10,218,3.0022904281245535,2.4593270824639535,1.6624,3.6714322566986084,7.012646198272705,4.6022,0.165615,-0.296638,0.402236,-0.10445,0.3039,True,0.280475,0.018447,-0.0044,-0.05,5.9161,5.9944,2.2665,2.1744,6.0532,5.4621,5.1185,4.9579,0.305,0.884,0.5372,0.3945,0.3039,3.0341,3.6283,5.205,5.045,5.0252,3.3435,2.0437,1.5047,1.2201,1.0531,0.9518,0.8932,0.8737,4.8658,3.726,2.2904,1.7693,1.8136,1.815,2.0943,4.56,10.8108,5.8749
10,219,3.000708755207174,2.4784607890072587,1.6641,3.6714322566986084,7.012646198272705,4.5835,0.23684,-0.132494,0.661236,-0.046653,0.3039,True,0.270706,0.000238,-0.000878,-0.05,5.9304,6.0075,2.2803,2.1894,6.0702,5.4726,5.1245,4.9604,0.7309,0.8224,0.4968,0.3638,0.3039,3.0228,3.6099,5.191,5.028,5.0066,3.3878,2.0584,1.5114,1.2236,1.0549,0.9527,0.8934,0.8691,4.8657,3.8501,2.3528,1.7767,1.8077,1.8182,2.0814,4.5532,10.8328,5.8935
10,220,2.999012494062942,2.4969572877073785,1.6639,3.6714322566986084,7.012646198272705,4.5655,0.113715,-0.290182,0.213509,-0.102177,0.3029,True,0.265533,-0.005255,-0.00421,-0.05,5.9606,6.0412,2.267,2.2055,6.0366,5.4538,5.1161,4.9603,0.3292,0.726,0.445,0.328,0.3029,3.0009,3.6653,5.1599,5.0061,4.9887,3.2609,2.0098,1.4852,1.2071,1.0435,0.9443,0.8871,0.8641,4.8603,3.7921,2.35,1.7851,1.8147,1.8278,2.1023,4.5893,10.8429,5.9115
10,221,2.998218739947419,2.5149742015691787,1.6704,3.6714322566986084,7.012646198272705,4.5478,0.244126,-0.015212,0.68773,-0.005356,0.3051,True,0.244578,0.011313,-1.2e-05,-0.05,5.9614,6.0677,2.2657,2.2208,6.0169,5.4431,5.1117,0.3381,0.4303,0.6505,0.4021,0.3051,3.0487,2.9976,3.7016,5.1358,4.9876,4.9726,3.1844,1.9793,1.4685,1.1962,1.0358,0.9386,0.8827,0.859,4.8566,3.7766,2.3599,1.7952,1.8185,1.8403,2.1147,4.5959,10.8547,5.9275
10,222,2.9977777568348065,2.5315280044836994,1.6786,3.6714322566986084,7.012646198272705,4.5315,0.131006,-0.048319,0.276385,-0.017014,0.301,True,0.250151,-0.020786,-0.000117,-0.05,5.9962,6.1093,2.2602,2.237,5.9686,5.4161,5.0997,0.321,0.8731,0.5604,0.3534,0.301,2.9863,3.0177,3.7877,5.1014,4.9662,4.9559,3.0205,1.914,1.4329,1.1737,1.0202,0.9273,0.8744,0.8528,4.8518,3.6651,2.334,1.7939,1.8303,1.853,2.1492,4.6061,10.8621,5.9443
10,223,2.9975614405559887,2.548425498622252,1.6901,3.6714322566986084,7.012646198272705,4.5148,0.202355,0.18562,0.535837,0.065359,0.3088,True,0.26882,0.038926,-0.001723,-0.05,6.0007,6.1418,2.2661,2.2524,5.9431,5.4024,5.0944,0.3088,1.2131,0.4855,0.3093,3.5847,2.9908,3.0489,3.8408,5.0743,4.9465,4.9386,2.9301,1.8761,1.4115,1.1597,1.0103,0.9199,0.8686,0.8473,4.8469,3.6328,2.3371,1.8045,1.8361,1.8645,2.1678,4.6825,10.8749,5.9615
